qid,name,dob,league,sport,league_id,league_id_property,proof_wikidata_url,level,source
Q749506,Darren Woodson,1969-04-25T00:00:00Z,NFL,American football,W/WoodDa01,P3561,https://www.wikidata.org/wiki/Q749506,major,wikidata
Q1179485,DeAndre Levy,1987-03-26T00:00:00Z,NFL,American football,L/LevyDe99,P3561,https://www.wikidata.org/wiki/Q1179485,major,wikidata
Q2923402,Brad Jones,1986-04-01T00:00:00Z,NFL,American football,J/JoneBr99,P3561,https://www.wikidata.org/wiki/Q2923402,major,wikidata
Q3531905,Tony Taylor,1984-07-21T00:00:00Z,NFL,American football,T/TaylTo99,P3561,https://www.wikidata.org/wiki/Q3531905,major,wikidata
Q4662053,Aaron Graham,1973-05-22T00:00:00Z,NFL,American football,G/GrahAa20,P3561,https://www.wikidata.org/wiki/Q4662053,major,wikidata
Q4756874,Andrew Economos,1982-06-24T00:00:00Z,NFL,American football,E/EconAn20,P3561,https://www.wikidata.org/wiki/Q4756874,major,wikidata
Q4869105,Bill Curry,1942-10-21T00:00:00Z,NFL,American football,C/CurrBi00,P3561,https://www.wikidata.org/wiki/Q4869105,major,wikidata
Q4905554,Jack Fleischman,1901-08-15T00:00:00Z,NFL,American football,F/FleiJa20,P3561,https://www.wikidata.org/wiki/Q4905554,major,wikidata
Q4905703,Elijah Pitts,1938-02-03T00:00:00Z,NFL,American football,P/PittEl00,P3561,https://www.wikidata.org/wiki/Q4905703,major,wikidata
Q4911371,Bill Wightkin,1927-07-28T00:00:00Z,NFL,American football,W/WighBi00,P3561,https://www.wikidata.org/wiki/Q4911371,major,wikidata
Q4964205,Brian Jennings,1976-10-14T00:00:00Z,NFL,American football,J/JennBr00,P3561,https://www.wikidata.org/wiki/Q4964205,major,wikidata
Q4994073,Marvel Smith,1978-08-06T00:00:00Z,NFL,American football,S/SmitMa55,P3561,https://www.wikidata.org/wiki/Q4994073,major,wikidata
Q5002416,Butch Rolle,1964-08-19T00:00:00Z,NFL,American football,R/RollBu00,P3561,https://www.wikidata.org/wiki/Q5002416,major,wikidata
Q5066292,Chad Lewis,1971-10-05T00:00:00Z,NFL,American football,L/LewiCh00,P3561,https://www.wikidata.org/wiki/Q5066292,major,wikidata
Q5228643,Dave Davis,1948-07-05T00:00:00Z,NFL,American football,D/DaviDa00,P3561,https://www.wikidata.org/wiki/Q5228643,major,wikidata
Q5229370,Dave Meggyesy,1941-11-01T00:00:00Z,NFL,American football,M/MeggDa20,P3561,https://www.wikidata.org/wiki/Q5229370,major,wikidata
Q5301009,Doug Widell,1966-09-23T00:00:00Z,NFL,American football,W/WideDo20,P3561,https://www.wikidata.org/wiki/Q5301009,major,wikidata
Q5307195,Drew Hill,1956-10-05T00:00:00Z,NFL,American football,H/HillDr00,P3561,https://www.wikidata.org/wiki/Q5307195,major,wikidata
Q5495607,Fred Jones,1967-03-06T00:00:00Z,NFL,American football,J/JoneFr01,P3561,https://www.wikidata.org/wiki/Q5495607,major,wikidata
Q5517057,Gail Cogdill,1937-04-07T00:00:00Z,NFL,American football,C/CogdGa00,P3561,https://www.wikidata.org/wiki/Q5517057,major,wikidata
Q5568681,Glenn Bass,1939-04-12T00:00:00Z,NFL,American football,B/BassGl00,P3561,https://www.wikidata.org/wiki/Q5568681,major,wikidata
Q5568974,Glenn Martinez,1981-11-30T00:00:00Z,NFL,American football,M/MartGl00,P3561,https://www.wikidata.org/wiki/Q5568974,major,wikidata
Q5569529,Jim Haslett,1955-12-09T00:00:00Z,NFL,American football,H/HaslJi20,P3561,https://www.wikidata.org/wiki/Q5569529,major,wikidata
Q5606082,Greg Olsen,1985-03-11T00:00:00Z,NFL,American football,O/OlseGr00,P3561,https://www.wikidata.org/wiki/Q5606082,major,wikidata
Q6127934,Jamel Williams,1973-12-22T00:00:00Z,NFL,American football,W/WillJa22,P3561,https://www.wikidata.org/wiki/Q6127934,major,wikidata
Q6257022,John Sciarra,1954-03-02T00:00:00Z,NFL,American football,S/SciaJo20,P3561,https://www.wikidata.org/wiki/Q6257022,major,wikidata
Q6384546,Keith Jackson,1965-04-19T00:00:00Z,NFL,American football,J/JackKe00,P3561,https://www.wikidata.org/wiki/Q6384546,major,wikidata
Q6771930,Marlon Forbes,1971-12-25T00:00:00Z,NFL,American football,F/ForbMa20,P3561,https://www.wikidata.org/wiki/Q6771930,major,wikidata
Q6789271,Matt Roth,1982-10-14T00:00:00Z,NFL,American football,R/RothMa20,P3561,https://www.wikidata.org/wiki/Q6789271,major,wikidata
Q6848497,Mike Rae,1951-07-26T00:00:00Z,NFL,American football,R/RaexMi00,P3561,https://www.wikidata.org/wiki/Q6848497,major,wikidata
Q7051588,Norm Snead,1939-07-31T00:00:00Z,NFL,American football,S/SneaNo00,P3561,https://www.wikidata.org/wiki/Q7051588,major,wikidata
Q7323711,Richard Alston,1980-11-20T00:00:00Z,NFL,American football,A/AlstRi20,P3561,https://www.wikidata.org/wiki/Q7323711,major,wikidata
Q7375176,Royce Pollard,1989-06-03T00:00:00Z,NFL,American football,P/PollRo00,P3561,https://www.wikidata.org/wiki/Q7375176,major,wikidata
Q7383967,Ryan Colburn,1986-11-08T00:00:00Z,NFL,American football,C/ColbRy00,P3561,https://www.wikidata.org/wiki/Q7383967,major,wikidata
Q7449879,Sen'Derrick Marks,1987-02-23T00:00:00Z,NFL,American football,M/MarkSe99,P3561,https://www.wikidata.org/wiki/Q7449879,major,wikidata
Q7514210,Silas Redd,1992-03-01T00:00:00Z,NFL,American football,R/ReddSi00,P3561,https://www.wikidata.org/wiki/Q7514210,major,wikidata
Q7611836,Steve Baack,1960-11-16T00:00:00Z,NFL,American football,B/BaacSt20,P3561,https://www.wikidata.org/wiki/Q7611836,major,wikidata
Q7692982,Ted Banker,1961-02-17T00:00:00Z,NFL,American football,B/BankTe20,P3561,https://www.wikidata.org/wiki/Q7692982,major,wikidata
Q7924930,Vic Vasicek,1926-05-05T00:00:00Z,NFL,American football,V/VasiVi20,P3561,https://www.wikidata.org/wiki/Q7924930,major,wikidata
Q8023249,Wilson Whitley,1955-04-28T00:00:00Z,NFL,American football,W/WhitWi24,P3561,https://www.wikidata.org/wiki/Q8023249,major,wikidata
Q11290145,Essex Johnson,1946-10-15T00:00:00Z,NFL,American football,J/JohnEs00,P3561,https://www.wikidata.org/wiki/Q11290145,major,wikidata
Q14950014,Jonathan Luigs,1986-08-11T00:00:00Z,NFL,American football,L/LuigJo20,P3561,https://www.wikidata.org/wiki/Q14950014,major,wikidata
Q14951106,David Kircus,1980-02-19T00:00:00Z,NFL,American football,K/KircDa00,P3561,https://www.wikidata.org/wiki/Q14951106,major,wikidata
Q16235030,Marcus Smith,1992-03-31T00:00:00Z,NFL,American football,S/SmitMa03,P3561,https://www.wikidata.org/wiki/Q16235030,major,wikidata
Q16732526,Jack Mewhort,1991-08-30T00:00:00Z,NFL,American football,M/MewhJa00,P3561,https://www.wikidata.org/wiki/Q16732526,major,wikidata
Q17626608,Jack Dugger,1923-01-13T00:00:00Z,NFL,American football,D/DuggJa20,P3561,https://www.wikidata.org/wiki/Q17626608,major,wikidata
Q18631520,Mark Campbell,1972-09-12T00:00:00Z,NFL,American football,C/CampMa20,P3561,https://www.wikidata.org/wiki/Q18631520,major,wikidata
Q18686435,Brian Gowins,1976-06-03T00:00:00Z,NFL,American football,G/gowinbri01,P3561,https://www.wikidata.org/wiki/Q18686435,major,wikidata
Q19571714,Jeremiah Sirles,1991-08-08T00:00:00Z,NFL,American football,S/SirlJe00,P3561,https://www.wikidata.org/wiki/Q19571714,major,wikidata
Q20988905,Paul Cuba,1908-06-12T00:00:00Z,NFL,American football,C/CubaPa20,P3561,https://www.wikidata.org/wiki/Q20988905,major,wikidata
Q21095588,Clancy Osborne,1934-11-23T00:00:00Z,NFL,American football,O/OsboCl20,P3561,https://www.wikidata.org/wiki/Q21095588,major,wikidata
Q21151458,Norm Cox,1925-09-22T00:00:00Z,NFL,American football,C/CoxxNo20,P3561,https://www.wikidata.org/wiki/Q21151458,major,wikidata
Q21191100,John McMullan,1933-06-28T00:00:00Z,NFL,American football,M/McMuJo20,P3561,https://www.wikidata.org/wiki/Q21191100,major,wikidata
Q21607993,Cliff Baldwin,1899-09-22T00:00:00Z,NFL,American football,B/BaldCl20,P3561,https://www.wikidata.org/wiki/Q21607993,major,wikidata
Q22003664,Reggie Clark,1967-10-17T00:00:00Z,NFL,American football,C/ClarRe20,P3561,https://www.wikidata.org/wiki/Q22003664,major,wikidata
Q27924981,Taco Charlton,1994-11-07T00:00:00Z,NFL,American football,C/CharTa00,P3561,https://www.wikidata.org/wiki/Q27924981,major,wikidata
Q27942130,Tarvarus McFadden,1997-01-28T00:00:00Z,NFL,American football,M/McFaTa00,P3561,https://www.wikidata.org/wiki/Q27942130,major,wikidata
Q38226764,Jaelan Phillips,1999-05-28T00:00:00Z,NFL,American football,P/PhilJa02,P3561,https://www.wikidata.org/wiki/Q38226764,major,wikidata
Q39075212,Andy Jones,1994-06-28T00:00:00Z,NFL,American football,J/JoneAn01,P3561,https://www.wikidata.org/wiki/Q39075212,major,wikidata
Q41446735,David Rivers,1994-07-23T00:00:00Z,NFL,American football,R/RiveDa00,P3561,https://www.wikidata.org/wiki/Q41446735,major,wikidata
Q47173116,Tremaine Edmunds,1997-05-02T00:00:00Z,NFL,American football,E/EdmuTr01,P3561,https://www.wikidata.org/wiki/Q47173116,major,wikidata
Q47563085,Frank Emmons,1918-09-17T00:00:00Z,NFL,American football,E/EmmoFr20,P3561,https://www.wikidata.org/wiki/Q47563085,major,wikidata
Q60736493,George Thomas,1964-07-11T00:00:00Z,NFL,American football,T/ThomGe00,P3561,https://www.wikidata.org/wiki/Q60736493,major,wikidata
Q60736559,Cameron Hunt,1994-12-17T00:00:00Z,NFL,American football,H/HuntCa01,P3561,https://www.wikidata.org/wiki/Q60736559,major,wikidata
Q61783559,Harold Blackmon,1978-05-20T00:00:00Z,NFL,American football,B/BlacHa20,P3561,https://www.wikidata.org/wiki/Q61783559,major,wikidata
Q63342250,Carlton Dabney,1947-01-26T00:00:00Z,NFL,American football,D/DabnCa20,P3561,https://www.wikidata.org/wiki/Q63342250,major,wikidata
Q65051329,Donald Parham,1997-08-16T00:00:00Z,NFL,American football,P/ParhDo00,P3561,https://www.wikidata.org/wiki/Q65051329,major,wikidata
Q66116293,Bobby Luna,1933-03-25T00:00:00Z,NFL,American football,L/LunaBo20,P3561,https://www.wikidata.org/wiki/Q66116293,major,wikidata
Q85800044,Scott Fields,1973-04-22T00:00:00Z,NFL,American football,F/FielSc20,P3561,https://www.wikidata.org/wiki/Q85800044,major,wikidata
Q98925720,Chase Hansen,1993-05-20T00:00:00Z,NFL,American football,H/HansCh01,P3561,https://www.wikidata.org/wiki/Q98925720,major,wikidata
Q100165596,Nick Thurman,1995-06-12T00:00:00Z,NFL,American football,T/ThurNi00,P3561,https://www.wikidata.org/wiki/Q100165596,major,wikidata
Q104535659,Elijah Mitchell,1998-05-02T00:00:00Z,NFL,American football,M/MitcEl00,P3561,https://www.wikidata.org/wiki/Q104535659,major,wikidata
Q105637416,Marc Brown,1961-05-07T00:00:00Z,NFL,American football,B/BrowMa20,P3561,https://www.wikidata.org/wiki/Q105637416,major,wikidata
Q106695605,Jonathan Marshall,1997-09-16T00:00:00Z,NFL,American football,M/MarsJo00,P3561,https://www.wikidata.org/wiki/Q106695605,major,wikidata
Q108050155,Dennis Price,1965-06-14T00:00:00Z,NFL,American football,P/PricDe20,P3561,https://www.wikidata.org/wiki/Q108050155,major,wikidata
Q108050175,George Kershaw,1927-03-13T00:00:00Z,NFL,American football,K/KersGe20,P3561,https://www.wikidata.org/wiki/Q108050175,major,wikidata
Q108050478,Marcus Lawrence,1982-06-21T00:00:00Z,NFL,American football,L/LawrMa20,P3561,https://www.wikidata.org/wiki/Q108050478,major,wikidata
Q108050536,Bob Griffin,1929-02-12T00:00:00Z,NFL,American football,G/GrifBo20,P3561,https://www.wikidata.org/wiki/Q108050536,major,wikidata
Q108050907,Tyler Marcordes,1992-10-09T00:00:00Z,NFL,American football,M/MarcTy00,P3561,https://www.wikidata.org/wiki/Q108050907,major,wikidata
Q108051193,Lacale London,1997-08-05T00:00:00Z,NFL,American football,L/LondLa00,P3561,https://www.wikidata.org/wiki/Q108051193,major,wikidata
Q108051799,Devin Taylor,1998-01-29T00:00:00Z,NFL,American football,T/TaylDe01,P3561,https://www.wikidata.org/wiki/Q108051799,major,wikidata
Q108051949,Bill Story,1951-11-21T00:00:00Z,NFL,American football,S/StorBi20,P3561,https://www.wikidata.org/wiki/Q108051949,major,wikidata
Q108052007,Dave Parkin,1956-01-07T00:00:00Z,NFL,American football,P/ParkDa22,P3561,https://www.wikidata.org/wiki/Q108052007,major,wikidata
Q108052309,Mitchell Galloway,1974-10-08T00:00:00Z,NFL,American football,G/GallMi20,P3561,https://www.wikidata.org/wiki/Q108052309,major,wikidata
Q108052349,Pat Schiller,1988-10-12T00:00:00Z,NFL,American football,S/SchiPa00,P3561,https://www.wikidata.org/wiki/Q108052349,major,wikidata
Q108052793,Alan Baxter,1991-03-28T00:00:00Z,NFL,American football,B/BaxtAl00,P3561,https://www.wikidata.org/wiki/Q108052793,major,wikidata
Q108052872,Martin Sartin,1963-03-09T00:00:00Z,NFL,American football,S/SartMa20,P3561,https://www.wikidata.org/wiki/Q108052872,major,wikidata
Q108053000,Frank Nelson,1923-05-28T00:00:00Z,NFL,American football,N/NelsFr20,P3561,https://www.wikidata.org/wiki/Q108053000,major,wikidata
Q108053247,Bob Clemens,1939-08-27T00:00:00Z,NFL,American football,C/ClemBo00,P3561,https://www.wikidata.org/wiki/Q108053247,major,wikidata
Q108053255,Scott Kehoe,1964-09-20T00:00:00Z,NFL,American football,K/KehoSc20,P3561,https://www.wikidata.org/wiki/Q108053255,major,wikidata
Q108053277,Tommy Johnson,1971-12-05T00:00:00Z,NFL,American football,J/JohnTo22,P3561,https://www.wikidata.org/wiki/Q108053277,major,wikidata
Q108053684,Don Heater,1950-06-22T00:00:00Z,NFL,American football,H/HeatDo20,P3561,https://www.wikidata.org/wiki/Q108053684,major,wikidata
Q108053967,Chaz Sutton,1989-09-07T00:00:00Z,NFL,American football,S/SuttCh00,P3561,https://www.wikidata.org/wiki/Q108053967,major,wikidata
Q108053988,Bijhon Jackson,1995-11-06T00:00:00Z,NFL,American football,J/JackBi01,P3561,https://www.wikidata.org/wiki/Q108053988,major,wikidata
Q108054012,Joe Billy Baumgardner,1925-02-16T00:00:00Z,NFL,American football,B/BaumJo20,P3561,https://www.wikidata.org/wiki/Q108054012,major,wikidata
